Question, Option1, Option2, Option3, Option4, Correct Answer
A mature Graafian follicle has three parts: stratum granulosum cumulus oophorus and, Theca interna, Theca externa, Antrum, Zona pellucida, C
The stratum granulosum is the, Central layer, Peripheral layer, Innermost layer, Outermost layer, B
The cumulus oophorus are cells that, Form the antrum, Surround the secondary oocyte, Secrete hormones, Form the theca, B
The antrum is a cavity filled with, Blood, Fluid, Cells, Fibers, B
The secondary oocyte is surrounded by how many coverings, 1, 2, 3, 4, C
The vitelline membrane is the membrane of the, Follicle, Secondary oocyte, Zona pellucida, Corona radiata, B
The zona pellucida is a coat of, Proteins, Lipids, Glycoprotein, Carbohydrates, C
The corona radiata is the, Outermost covering, Innermost layer of cumulus oophorous, Membrane of the oocyte, Fluid layer, B
The structure liberated from the ovary at ovulation is the, Primary oocyte, Secondary oocyte with its coverings, Ovum, Polar body, B
The number of gametes produced in oogenesis is, 1, 2, 3, 4, A
Oogenesis produces one ovum and, One polar body, Two polar bodies, Three polar bodies, Four polar bodies, B
The polar bodies are, Functional gametes, Nonfunctional and degenerate, Used for fertilization, Sources of genetic material, B
The initiation of oogenesis starts, Before birth, At puberty, At menarche, At menopause, A
Sperm production is in millions every day while ovum production is, One per day, One per week, One per month, One per year, C
The size of the female gamete is, Small and motile, Large and non-motile, Small and non-motile, Large and motile, B
Cell division in oogenesis is, Equal, Unequal, Absent, Symmetrical, B
Oogenesis produces genetically, Diverse ova, Identical daughter cells, Haploid cells only, Diploid cells, B
The first polar body may, Divide again, Be fertilized, Become an ovum, Disappear instantly, A
The second polar body is formed after, The first meiotic division, The second meiotic division, Fertilization, Implantation, B
The secondary oocyte is arrested in metaphase of, Meiosis I, Meiosis II, Mitosis I, Mitosis II, B
Fertilization triggers the completion of, Meiosis I, Meiosis II, Mitosis, DNA replication, B
The haploid number of chromosomes in a mature ovum is, 23, 46, 69, 92, A
The ovum contributes, Half the genetic material, All the genetic material, Only the X chromosome, Only the cytoplasm, A
The cytoplasm of the ovum provides, The sperm tail, Nutrients for the early embryo, The male pronucleus, The polar bodies, B
The yolk in the ovum is for, Protection, Nutrition, Motility, Fertilization, B
The ovum is surrounded by barriers for, Protection and species-specific fertilization, Easy access for sperms, Preventing implantation, Causing mutations, A
The zona pellucida becomes impermeable after fertilization to prevent, Implantation, Multiple sperm entry, DNA replication, Cell division, B
The cortical reaction involves release of enzymes from, The sperm, The oocyte's cortical granules, The polar bodies, The follicle cells, B
The cortical reaction alters the, Sperm tail, Zona pellucida, Uterine lining, Polar bodies, B
The change in the zona pellucida is called the, Acrosomal reaction, Cortical reaction, Zona reaction, Fertilization reaction, C
The zona reaction prevents, Fertilization, Polyspermy, Implantation, Cleavage, B
After fertilization the ovum is called a, Zygote, Morula, Blastocyst, Embryo, A
The zygote has a diploid number of chromosomes from, The mother only, The father only, Both parents, The polar bodies, C
The sex of the embryo is determined by the, Ovum, Sperm, Both, Neither, B
An X-bearing sperm produces a, Male embryo, Female embryo, Hermaphrodite, Triploid embryo, B
A Y-bearing sperm produces a, Female embryo, Male embryo, Turner syndrome, Klinefelter syndrome, B
Oogenesis is a discontinuous process because of the, Long arrest periods, Continuous production, Rapid divisions, Lack of polar bodies, A
The total number of oocytes is fixed at, Birth, Puberty, Menarche, Menopause, A
Women are born with about how many primary oocytes, 10,000, 100,000, 1-2 million, 10 million, C
By puberty the number of oocytes is reduced to about, 10,000, 100,000, 300,000, 500,000, C
Only about how many oocytes will ovulate in a woman's lifetime, 100, 200, 300, 400, D
The rest of the oocytes undergo, Fertilization, Atresia, Implantation, Division, B
Atresia is the process of, Follicle growth, Follicle degeneration, Ovulation, Fertilization, B
Hormonal control of oogenesis involves, FSH and LH, Testosterone, Estrogen only, Progesterone only, A
FSH stimulates, Follicle growth, Ovulation, Corpus luteum formation, Implantation, A
LH surge triggers, Follicle growth, Ovulation, Menstruation, Fertilization, B
Estrogen is produced by, Theca cells, Granulosa cells, Stromal cells, Oocyte, B
Progesterone is produced by the, Growing follicle, Corpus luteum, Oocyte, Uterus, B
