Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
The respiratory part of the nasal cavity contains:,Olfactory receptors,Nasal conchae,Nasal septum,Choanae,B
Which paranasal sinus is most commonly involved in sinusitis?,Frontal,Ethmoidal,Sphenoidal,Maxillary,D
The pharynx extends from the base of skull to which cartilage?,Thyroid,Cricoid,Arytenoid,Epiglottic,B
The larynx is found at which vertebral levels?,C2-C4,C3-C5,C4-C6,C5-T1,C
Which cartilage is the largest in the larynx?,Cricoid,Thyroid,Epiglottis,Arytenoid,B
The trachealis muscle is composed of:,Skeletal muscle,Smooth involuntary muscle,Cardiac muscle,Elastic cartilage,B
The left main bronchus passes:,Anterior to esophagus,Posterior to esophagus,Superior to aorta,Inferior to pulmonary artery,B
Bronchioles are branches of:,Main bronchi,Lobar bronchi,Segmental bronchi,Terminal bronchi,C
The pulmonary autonomic plexus is found in the:,Nasal cavity,Larynx,Lung root,Diaphragm,C
The pleural cavity has:,Positive pressure,Negative pressure,Atmospheric pressure,Variable pressure,B
The right lung is shorter because of:,Heart position,Liver elevating diaphragm,Spleen position,Esophageal position,B
The horizontal fissure is present in which lung?,Right lung,Left lung,Both lungs,Neither lung,A
The left lung hilum contains how many bronchi?,One,Two,Three,Four,A
The nasal septum is composed of:,Bone only,Cartilage only,Both bone and cartilage,Mucous membrane only,C
The function of nasal conchae is to:,Warm and humidify air,Produce sound,Filter smell,Close nasopharynx,A
The auditory tube connects nasopharynx to:,Oral cavity,Larynx,Middle ear,External ear,C
The palatine tonsils are located in:,Nasopharynx,Oropharynx,Laryngopharynx,All three,B
The epiglottis prevents food entry into:,Esophagus,Trachea,Pharynx,Larynx,B
The trachea is anterior to which structure?,Heart,Esophagus,Great vessels,Bronchi,B
The carina is located at:,Tracheal beginning,Tracheal bifurcation,Bronchial ending,Alveolar beginning,B
The right pulmonary artery passes:,Anterior to main bronchus,Posterior to main bronchus,Superior to bronchus,Inferior to bronchus,B
Alveoli are primarily responsible for:,Air conduction,Gas exchange,Sound production,Mucus production,B
The parietal pleura lines the:,Lung surface,Thoracic wall,Mediastinum,Diaphragm,B
How many fissures does the left lung have?,One,Two,Three,None,A
The bronchial arteries supply:,Alveoli,Pleura,Bronchial tree,Heart,C
The phrenic nerve innervates the:,Lungs,Heart,Diaphragm,Trachea,C
The nasal cavity warms air due to:,Rich blood supply,Muscle action,Cartilage framework,Nerve endings,A
Which structure is NOT part of the upper respiratory system?,Nose,Pharynx,Larynx,Paranasal sinuses,C
Gas exchange occurs in the:,Trachea,Bronchi,Alveoli,Bronchioles,C
The vocal cords are attached to which cartilages?,Thyroid and cricoid,Arytenoid and thyroid,Arytenoid and cricoid,Epiglottis and thyroid,B
