Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
Which cranial nerve has the longest course and most extensive distribution?,Facial nerve,Glossopharyngeal nerve,Vagus nerve,Hypoglossal nerve,C
The accessory nerve innervates muscles of:,Eye movement,Facial expression,Soft palate and larynx,Tongue movement,C
The hypoglossal nerve controls muscles of:,Mastication,Facial expression,Pharynx,Tongue,D
Autonomic fibers in spinal nerves T1-L2 are part of:,Parasympathetic system,Sympathetic system,Somatic system,Sensory system,B
The subarachnoid space is between which two meninges?,Dura and arachnoid,Arachnoid and pia,Dura and pia,Skull and dura,B
Cerebrospinal fluid is produced in:,Subarachnoid space,Blood vessels,Ventricles,Spinal cord,C
The cerebral cortex is characterized by:,Smooth surface,Gyri and sulci,White matter,Myelinated fibers,B
Planning and coordination of movement primarily involves:,Cerebrum,Cerebellum,Brainstem,Spinal cord,B
Balance and equilibrium are functions of:,Cerebrum,Cerebellum,Medulla oblongata,Spinal cord,B
The diencephalon includes which structures?,Thalamus and hypothalamus,Pons and medulla,Midbrain only,Cerebellum only,A
