Question, Option1, Option2, Option3, Option4, Correct Answer
Phase 1 of fertilization is penetration of the, Zona pellucida, Corona radiata, Vitelline membrane, Oocyte membrane, B
Of the millions of sperm deposited only about how many reach the fertilization site, 100-200, 300-500, 600-800, 900-1000, B
Only one sperm normally fertilizes the, Ovum, Polar body, Follicle, Uterus, A
Capacitated sperm pass freely through, Zona pellucida, Corona radiata cells, Vitelline membrane, Oocyte membrane, B
Phase 2 is penetration of the, Corona radiata, Zona pellucida, Vitelline membrane, Oocyte membrane, B
The zona pellucida facilitates sperm binding and induces the, Capacitation, Acrosome reaction, Cortical reaction, Zona reaction, B
Binding and the acrosome reaction are mediated by the ligand, ZP1, ZP2, ZP3, ZP4, C
Acrosomal enzymes allow sperm to penetrate the, Corona radiata, Zona pellucida, Vitelline membrane, Oocyte membrane, B
When the sperm head meets the oocyte surface it triggers release of enzymes from, The sperm, Cortical granules, The zona, The corona, B
The enzymes from cortical granules alter the, Sperm membrane, Zona pellucida, Oocyte nucleus, Polar bodies, B
The change in the zona pellucida is the, Acrosomal reaction, Cortical reaction, Zona reaction, Fertilization reaction, C
The zona reaction makes the zona pellucida impermeable to other sperms preventing, Fertilization, Polyspermy, Implantation, Cleavage, B
Phase 3 is fusion of the oocyte and sperm, Nuclei, Cell membranes, Mitochondria, Centrioles, B
Fusion occurs between the oocyte membrane and the membrane covering the posterior region of the, Sperm tail, Sperm head, Sperm mitochondria, Sperm centriole, B
Both the head and tail of the sperm enter the oocyte but the is left behind, Nucleus, Mitochondria, Plasma membrane, Centriole, C
The oocyte responds to sperm entry by completing the, First meiotic division, Second meiotic division, First mitotic division, Second mitotic division, B
Completion of the second meiotic division forms the, First polar body, Second polar body, Female pronucleus, Male pronucleus, B
The second polar body is, Retained, Degenerated, Fertilized, Used for nutrition, B
The female pronucleus is formed from the, Sperm nucleus, Oocyte nucleus, Polar body, Follicle cell, B
The male pronucleus is formed from the, Sperm nucleus, Oocyte nucleus, Polar body, Corona cell, A
The sperm tail inside the oocyte, Divides, Detaches and degenerates, Forms the embryo, Becomes the placenta, B
The male and female pronuclei fuse after replication of their, RNA, DNA, Proteins, Lipids, B
After pronuclear fusion the zygote begins, Implantation, Cleavage, Gastrulation, Organogenesis, B
The main results of fertilization include restoration of the diploid number of, Cells, Chromosomes, Nuclei, Mitochondria, B
The diploid number is 46 with half from each, Cell, Parent, Grandparent, Sibling, B
Fertilization determines the sex of the new individual based on the, Ovum, Sperm, Both, Uterine environment, B
An X-bearing sperm produces a embryo, Male, Female, Hermaphrodite, Asexual, B
A Y-bearing sperm produces a embryo, Female, Male, Turner syndrome, Klinefelter syndrome, B
Fertilization initiates cleavage of the, Ovum, Zygote, Morula, Blastocyst, B
After fertilization ovulation and the menstrual cycle usually, Continue, Stop, Reverse, Speed up, B
The corpus luteum enlarges to form the corpus luteum of, Menstruation, Pregnancy, Ovulation, Fertilization, B
The secretory phase of the endometrium forms the, Decidua of pregnancy, Placenta, Amnion, Chorion, A
Fertilization marks the beginning of, Embryonic development, Fetal development, Organogenesis, Gastrulation, A
The zygote is the first cell of the new, Organism, Tissue, Organ, System, A
The process of fertilization ensures genetic diversity through, Mitosis, Meiosis and recombination, Cloning, Budding, B
Block to polyspermy is essential to prevent, Multiple births, Abnormal chromosome number, Ectopic pregnancy, Miscarriage, B
The cortical reaction is a slow block to polyspermy while the fast block is, Electrical, Chemical, Mechanical, Thermal, B
The fusion of pronuclei is called, Syngamy, Karyogamy, Amphimixis, All of the above, D
The zygote has the potential to develop into a complete, Human being, Placenta only, Specific organ, Set of tissues, A
Fertilization typically occurs within how many hours after ovulation, 12-24 hours, 24-48 hours, 48-72 hours, 72-96 hours, A
The journey of the zygote to the uterus takes about, 1-2 days, 3-4 days, 5-6 days, 7-8 days, B
During its journey the zygote undergoes, Implantation, Cleavage, Gastrulation, Organogenesis, B
The ability of the sperm to fertilize the oocyte is called, Fertility, Fecundity, Competence, Viability, C
The oocyte is viable for fertilization for a period than the sperm, Longer, Shorter, Equal, Variable, B
Factors such as pH and temperature in the female tract affect sperm, Production, Motility and survival, Morphology, Count, B
Assisted reproductive technologies can bypass some steps of, Fertilization, Implantation, Pregnancy, Birth, A
In vitro fertilization occurs in a, Test tube, Petri dish, Uterus, Fallopian tube, B
Fertilization is a complex process ensuring species, Survival, Variation, Extinction, Stasis, A
