Question,Option1,Option2,Option3,Option4,Correct Answer
The detrusor muscle is the...,Lining of the bladder,Muscular wall of the bladder,Sphincter of the urethra,Ligament supporting the bladder,Muscular wall of the bladder
Micturition is another term for...,Urine formation,Urination,Blood filtration,Kidney function,Urination
The urge to urinate is first felt when the bladder contains about...,50 ml,150 ml,400 ml,1000 ml,150 ml
The maximum capacity of the urinary bladder is approximately...,100 ml,500 ml,800 ml,1500 ml,800 ml
A patient with renal colic is likely experiencing pain due to...,Bladder infection,Kidney stone in the ureter,Prostate enlargement,Urethral stricture,Kidney stone in the ureter
Pyelonephritis is an infection of the...,Urinary bladder,Urethra,Kidney,Prostate,Kidney
The glomerular filtration rate GFR is a measure of...,Kidney blood flow,Urine concentration,Overall kidney function,Bladder capacity,Overall kidney function
The color of normal urine is due to a pigment called...,Hemoglobin,Bilirubin,Urochrome,Melanin,Urochrome
The normal pH range of urine is...,1.0-3.0,4.5-8.0,9.0-10.0,Neutral 7.0,4.5-8.0
The primary nitrogenous waste product in urine is...,Uric acid,Creatinine,Urea,Ammonia,Urea
