Question, Option1, Option2, Option3, Option4, Correct Answer
The testis is the primary male sex organ classified as a, Endocrine gland only, Exocrine gland only, Mixed gland, Neither endocrine nor exocrine, C
The testis is divided by fibrous septa into, 50-100 lobules, 100-150 lobules, 150-200 lobules, 200-300 lobules, D
Each lobule contains how many seminiferous tubules, 1-2, 1-4, 5-10, 10-15, B
Seminiferous tubules are the site of, Testosterone production, Sperm formation, Sperm storage, Fluid production, B
Seminiferous tubules open into the, Epididymis, Vas deferens, Rete testis, Ejaculatory duct, C
From the rete testis how many vasa efferentia arise, 5-10, 10-15, 12-20, 20-25, C
The vasa efferentia attach the head of the epididymis to the, Vas deferens, Testis, Scrotum, Prostate, B
The outermost cells in seminiferous tubules are, Spermatids, Spermatogonia, Spermatozoa, Sertoli cells, B
Spermatogonia divide to produce, Secondary spermatocytes, Primary spermatocytes, Spermatids, Spermatozoa, B
Primary spermatocytes divide into, Spermatogonia, Secondary spermatocytes, Spermatids, Spermatozoa, B
Secondary spermatocytes divide into, Spermatogonia, Primary spermatocytes, Spermatids, Spermatozoa, C
Spermatids undergo metamorphosis into, Spermatogonia, Primary spermatocytes, Secondary spermatocytes, Spermatozoa, D
The process of sperm production from spermatogonia is, Spermiogenesis, Spermatogenesis, Oogenesis, Meiosis, B
Supporting cells of Sertoli function to, Produce testosterone, Nourish sperms, Phagocytose debris, Contract the tubule, B
Interstitial cells of Leydig secrete, Estrogen, Progesterone, Testosterone, Inhibin, C
The outer serous sac covering the testis is the, Tunica albuginea, Tunica vaginalis, Tunica vasculosa, Tunica media, B
The inner fibrous capsule of the testis is the, Tunica vaginalis, Tunica albuginea, Tunica vasculosa, Dartos muscle, B
The epididymis is a highly convoluted duct about how long, 2 meters, 4 meters, 6 meters, 8 meters, C
The epididymis has a head body and, Tail, Neck, Fundus, Base, A
The epididymis receives the, Seminiferous tubules, Vasa efferentia, Vas deferens, Ejaculatory duct, B
The function of the epididymis is, Sperm production, Sperm maturation and storage, Testosterone production, Fluid secretion, B
The vas deferens is a muscular tube starting from the, Testis, Tail of the epididymis, Head of the epididymis, Rete testis, B
The vas deferens ends by joining the duct of the, Seminal vesicle, Prostate, Bulbourethral gland, Epididymis, A
The length of the vas deferens is about, 25 cm, 35 cm, 45 cm, 55 cm, C
The function of the vas deferens is, Sperm production, Sperm transport, Testosterone production, Fluid secretion, B
The ejaculatory duct is formed by the union of the vas deferens and the duct of the, Prostate, Seminal vesicle, Bulbourethral gland, Epididymis, B
The ejaculatory duct is about how long, 1 cm, 2 cm, 3 cm, 4 cm, B
The ejaculatory duct ends in the, Urinary bladder, Prostatic urethra, Membranous urethra, Penile urethra, B
The prostate is a glandular and fibromuscular organ lying beneath the, Bladder, Rectum, Urethra, Seminal vesicle, A
The prostate is penetrated by the, Vas deferens, Ejaculatory duct, Proximal part of the urethra, Seminal vesicle duct, C
The prostate is related posteriorly to the, Bladder, Rectum, Seminal vesicle, Urethra, B
The prostate secretes, Acidic fluid, Alkaline fluid, Nutritive fluid, Mucus, B
The prostate produces about what percentage of seminal fluid, 20%, 30%, 40%, 50%, C
The seminal vesicles are paired tubes about how long, 3 cm, 5 cm, 7 cm, 9 cm, B
The seminal vesicles lie between the, Bladder base and rectum, Prostate and urethra, Testis and epididymis, Bladder and prostate, A
The seminal vesicles produce about what percentage of seminal fluid, 40%, 50%, 60%, 70%, C
Seminal fluid from the seminal vesicles is, Acidic, Alkaline, Nutritive to sperms, Hormonal, C
The bulbourethral glands are located beside the, Prostatic urethra, Membranous urethra, Penile urethra, Bladder neck, B
The bulbourethral glands open into the, Prostatic urethra, Membranous urethra, Bulb of the penile urethra, Urinary bladder, C
The function of the bulbourethral glands is to, Produce sperm, Lubricate the urethra, Neutralize acidity, Provide nutrition, B
