Question,Option1,Option2,Option3,Option4,Correct Answer
Vernix caseosa is a __________ substance found on the fetal skin.,Fatty,Proteinaceous,Carbohydrate,Mineral,Fatty
Lanugo is...,Permanent hair,Fine temporary hair,The vernix,Meconium,Fine temporary hair
The amniotic fluid volume is highest around week...,20,30,36,40,36
After week 38 the amniotic fluid volume...,Increases rapidly,Stays the same,Gradually decreases,Disappears,Gradually decreases
Amniotic fluid embolism is a...,Common condition,Rare but serious complication,Normal process,Benign finding,Rare but serious complication
The amniotic sac is also called the...,Placenta,Bag of waters,Umbilical cord,Chorion,Bag of waters
Rupture of the amniotic sac often signals the onset of...,Implantation,Quickening,Labor,Placental separation,Labor
The amnion is a __________ membrane.,Tough and fibrous,Thin and transparent,Thick and muscular,Elastic and opaque,Thin and transparent
Amniotic fluid provides a medium for the fetus to...,Breathe,Move and develop,Digest food,Produce hormones,Move and develop
The presence of amniotic fluid is essential for normal __________ development.,Cardiac,Pulmonary,Limb and musculoskeletal,Hepatic,Limb and musculoskeletal
A lack of amniotic fluid oligohydramnios can lead to...,Macrosomia,Lung hypoplasia,Polyhydramnios,Improved fetal movement,Lung hypoplasia
Amniotic fluid volume is assessed during ultrasound by measuring the...,Biophysical profile,Amniotic fluid index AFI,Fetal weight,Placental thickness,Amniotic fluid index AFI
The amniotic fluid index is the sum of measurements from __________ uterine quadrants.,Two,Three,Four,Five,Four
Normal amniotic fluid index at term is between...,5-10 cm,5-25 cm,25-35 cm,35-40 cm,5-25 cm
Chorioamnionitis is an infection of the...,Fetal membranes,Placenta only,Umbilical cord,Yolk sac,Fetal membranes
###  Birth defects
Birth defects are described as structural functional and __________ disorders.,Psychological,Metabolic,Social,Educational,Metabolic
The science that studies birth defects is called...,Embryology,Teratology,Genetics,Pathology,Teratology
Major structural anomalies occur in __________ of live-born infants.,1-2%,4-6%,10-15%,20-25%,4-6%
Chromosomal anomalies account for about __________ of major structural anomalies.,5%,15%,50%,75%,15%
Minor structural anomalies occur in __________ of live-born infants.,5%,15%,25%,50%,15%
An example of a minor anomaly is...,Heart defect,Spina bifida,Microtia small ears,Cleft lip,Microtia small ears
The presence of one minor anomaly increases the chance of a major one to about...,1%,3%,10%,20%,3%
The presence of three minor anomalies increases the chance of a major one to about...,3%,10%,20%,50%,20%
Malformations occur during the __________ period.,Fetal,Embryonic 3rd-8th week,Germinal,Neonatal,Embryonic 3rd-8th week
Malformations involve an organ that is...,Normally formed,Not formed or abnormally formed,Destroyed after formation,Compressed,Not formed or abnormally formed
An example of a malformation is...,Amniotic band syndrome,Club foot,Renal aplasia,Cerebral palsy,Renal aplasia
Disruptions are morphological alterations of __________ formed structures.,Never,Already,Partially,Abnormally,Already
An example of a disruption is...,Polydactyly,Cleft palate,Amniotic band syndrome,Club foot,Amniotic band syndrome
Deformations are abnormalities due to a...,Genetic mutation,Chemical exposure,Mechanical force,Infection,Mechanical force
An example of a deformation is...,Spina bifida,Club foot,Down syndrome,Heart defect,Club foot
Syndromes are groups of anomalies occurring together due to a...,Specific cause,Random chance,Maternal diet,Paternal age,Specific cause
VACTERL association includes vertebral anal cardiac tracheoesophageal renal and __________ defects.,Limb,Liver,Lung,Neural,Limb
A teratogen is an agent that can produce a...,Beneficial effect,Congenital anomaly,Therapeutic outcome,Normal development,Congenital anomaly
The cause of birth defects is unknown in __________ of cases.,10-20%,25-35%,50-60%,75-85%,50-60%
Genetic causes chromosomal abnormalities account for __________ of birth defects.,5%,15%,25%,50%,15%
Environmental causes teratogens account for __________ of birth defects.,5%,10%,25%,50%,10%
Combined genetic and environmental factors account for __________ of birth defects.,10%,25%,50%,60%,25%
Infectious teratogens include...,Rubella virus,Insulin,Thalidomide,Progesterone,Rubella virus
Rubella virus can cause __________ defects.,Cardiac and neural tube,Limb,Digestive,No,Cardiac and neural tube
Physical teratogens include...,Drugs,Alcohol,X-rays,Hormones,X-rays
X-rays can kill __________ dividing cells.,Slowly,Rapidly,No,Only fetal,Rapidly
Thalidomide is a drug that caused severe __________ defects.,Heart,Limb,Neural tube,Facial,Limb
Valproic acid an anti-epileptic drug can cause __________ defects.,Limb,Neural tube,Cardiac,Kidney,Neural tube
Synthetic progesterone can cause __________ of female fetus genitalia.,Masculinization,Feminization,No effect,Enlargement,Masculinization
Maternal diabetes increases the risk for __________ defects.,Limb,Cardiac and nervous,Neural tube only,Digestive,Cardiac and nervous
Prevention of birth defects includes iodine supplementation to prevent...,Neural tube defects,Diabetes,Cretinism mental retardation,Limb defects,Cretinism mental retardation
Folic acid supplementation lowers the risk of __________ defects.,Cardiac,Limb,Neural tube,Chromosomal,Neural tube
Folic acid supplementation can reduce neural tube defects by up to...,30%,50%,70%,90%,70%
Avoiding teratogenic drugs during the __________ period is important.,Childbearing,Childhood,Adulthood,Old age,Childbearing
Ultrasound is a prenatal diagnostic method that uses...,X-rays,Sound waves,Magnetic fields,Radioactivity,Sound waves
Ultrasound can detect...,Placental position and fetal growth,Chromosomal anomalies,Metabolic disorders,Genetic mutations,Placental position and fetal growth
Maternal serum screening measures biochemical markers like...,hCG,Alpha-fetoprotein AFP,Estrogen,Progesterone,Alpha-fetoprotein AFP
High AFP levels in maternal serum may indicate...,Down syndrome,Neural tube defects,Turner syndrome,No issue,Neural tube defects
Low AFP levels in maternal serum may indicate...,Neural tube defects,Down syndrome,Spina bifida,Heart defects,Down syndrome
Amniocentesis involves inserting a needle into the...,Fetal heart,Amniotic cavity,Placenta,Umbilical cord,Amniotic cavity
Amniocentesis can be used for __________ analysis.,Maternal blood,Fetal cell karyotype,Paternal DNA,Placental structure,Fetal cell karyotype
Chorionic villus sampling CVS involves taking a sample from the...,Amnion,Placenta chorionic villi,Fetal blood,Umbilical cord,Placenta chorionic villi
CVS is usually performed __________ than amniocentesis.,Later,At the same time,Earlier,Never,Earlier
A risk of CVS is a __________ rate of fetal loss compared to amniocentesis.,Lower,Same,Two-fold higher,Ten-fold higher,Two-fold higher
The most common cause of intellectual disability is...,Down syndrome,Spina bifida,Cleft lip,Club foot,Down syndrome
Neural tube defects result from failure of __________ closure.,Heart,Neural tube,Limb bud,Palate,Neural tube
Cleft lip and palate are caused by failure of __________ fusion.,Neural fold,Limb bud,Facial process,Somite,Facial process
Congenital heart defects are the most common type of __________ defect.,Neurological,Gastrointestinal,Cardiovascular,Musculoskeletal,Cardiovascular
The risk of birth defects increases with...,Paternal age only,Maternal age only,Both maternal and paternal age,Neither,Both maternal and paternal age
Teratogen exposure is most damaging during the period of...,Fetal growth,Organogenesis,Implantation,Germ layer formation,Organogenesis
A critical period for limb development is weeks...,3-4,4-8,9-12,13-16,4-8
The acronym TORCH stands for...,A set of vitamins,Teratogenic drugs,Infectious agents,Genetic syndromes,Infectious agents
TORCH infections include Toxoplasmosis Rubella Cytomegalovirus and...,Hepatitis,Herpes simplex,HIV,Influenza,Herpes simplex
Phenylketonuria PKU is an example of a __________ birth defect.,Structural,Functional metabolic,Chromosomal,Environmental,Functional metabolic
Preconception care is important for...,Treating birth defects,Preventing some birth defects,Diagnosing syndromes,Curing genetic disorders,Preventing some birth defects
