Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
The anal canal is surrounded by which structures?,Pyloric sphincters,Internal and external anal sphincters,Iliocecal valves,Duodenal papillae,B
Which gland is the largest salivary gland?,Sublingual,Submandibular,Parotid,Thyroid,C
The parotid gland duct opens into which part of the oral cavity?,Mouth cavity proper,Floor of mouth,Opposite upper second molar,Ventral tongue surface,C
Which liver lobe is the largest?,Left lobe,Right lobe,Caudate lobe,Quadrate lobe,B
The porta hepatis is located on which liver surface?,Anterior surface,Superior surface,Inferior surface,Posterior surface,C
Which structure transports bile from the gallbladder?,Common hepatic duct,Cystic duct,Common bile duct,Pancreatic duct,B
The common bile duct unites with which pancreatic duct?,Accessory pancreatic duct,Main pancreatic duct,Minor pancreatic duct,Duodenal pancreatic duct,B
Which part of the pancreas extends to the spleen hilum?,Head,Neck,Body,Tail,D
The main pancreatic duct runs through which part of the pancreas?,Head only,Head and neck,Body and tail,Entire length,D
How many permanent teeth are typically present in each jaw?,10,16,20,32,B
Which oral structure attaches the tongue to the floor of the mouth?,Sulcus terminalis,Frenulum,Uvula,Soft palate,B
The pharynx is divided into how many parts?,2,3,4,5,B
At which vertebral level does the esophagus terminate?,C6,T1,T10,L1,C
Which stomach opening communicates with the esophagus?,Pyloric orifice,Cardiac orifice,Fundic orifice,Duodenal orifice,B
The small intestine extends from which junction to which junction?,Pyloroduodenal to ileocecal,Cardiac to pyloric,Duodenal to jejunal,Jejunal to ileal,A
Which part of the small intestine has the most pronounced circular folds?,Duodenum,Jejunum,Ileum,Colon,B
The large intestine forms a frame around which structure?,Liver,Stomach,Pancreas,Small intestine,D
Which colon feature results from the tacniæ coli being shorter than the colon length?,Appendices epiploicae,Haustra,Plicae circularis,Rugae,B
The submandibular gland is located in which anatomical triangle?,Carotid triangle,Submandibular triangle,Submental triangle,Muscular triangle,B
Which structure lies in contact with the spleen?,Right colic flexure,Left colic flexure,Hepatic flexure,Splenic flexure,D
The liver occupies most of which abdominal regions?,Left hypochondrium and left lumbar,Right hypochondrium and epigastrium,Right lumbar and umbilical,Epigastrium and left iliac,B
Which vessel is NOT found in the porta hepatis?,Portal vein,Hepatic artery,Hepatic duct,Hepatic vein,D
The cystic duct connects the gallbladder to which structure?,Common hepatic duct,Common bile duct,Pancreatic duct,Duodenum,A
Which pancreatic part lies anterior to the portal vein commencement?,Head,Neck,Body,Tail,B
The accessory pancreatic duct opens into which part of the duodenum?,First part,Second part,Third part,Fourth part,B
Which part of the tooth contains blood vessels and nerves?,Crown,Root,Neck,Pulp cavity,D
The space between the lips/cheeks and teeth/gums is called?,Mouth cavity proper,Oral vestibule,Oropharynx,Nasopharynx,B
How long is the average adult pharynx?,5 cm,12 cm,18 cm,25 cm,B
During swallowing which structure descends to close the larynx?,Soft palate,Uvula,Epiglottis,Tongue,C
The abdominal part of the esophagus passes through which diaphragmatic opening?,Aortic hiatus,Venacaval hiatus,Esophageal hiatus,Quadratus hiatus,C
Which part of the stomach is related posteriorly to the pancreas?,Fundus,Body,Pylorus,Cardia,B
The duodenum curves around which pancreatic structure?,Head,Neck,Body,Tail,A
What percentage of the small intestine does the jejunum constitute?,20%,40%,60%,80%,B
Peyer's patches are aggregations of which tissue?,Muscular tissue,Nervous tissue,Lymphoid tissue,Epithelial tissue,C
The vermiform appendix opens into which aspect of the cecum?,Anterior,Posterior,Superior,Posteromedial,D
The sigmoid colon is located in which body cavity?,Thoracic cavity,Abdominal cavity,Pelvic cavity,Cranial cavity,C
Tacniæ coli are composed of which type of muscle tissue?,Smooth muscle longitudinal bands,Smooth muscle circular bands,Skeletal muscle longitudinal bands,Skeletal muscle circular bands,A
Which salivary gland lies beneath the tongue?,Parotid,Submandibular,Sublingual,Buccal,C
The liver is described as having how many main lobes?,1,2,3,4,B
Which surface of the liver is related to the diaphragm?,Anterior,Superior,Inferior,Posterior,B
The extrahepatic biliary tract begins with which structures?,Right and left hepatic ducts,Common hepatic duct,Cystic duct,Common bile duct,A
The common bile duct and main pancreatic duct open at which duodenal papilla?,Major,Minor,Superior,Inferior,A
Which pancreatic part is constricted and lies in front of the portal vein?,Head,Neck,Body,Tail,B
The main pancreatic duct unites with which structure?,Cystic duct,Common hepatic duct,Common bile duct,Accessory pancreatic duct,C
How many deciduous teeth are there in total?,20,24,28,32,A
The V-shaped sulcus on the tongue dorsal surface is called?,Frenulum,Sulcus terminalis,Median sulcus,Transverse sulcus,B
Which pharyngeal part communicates with the nose?,Nasopharynx,Oropharynx,Laryngopharynx,All of the above,A
The esophagus begins at which vertebral level?,C3,C6,T1,T4,B
Which stomach region is the most dilated part of the alimentary tract?,Esophagus,Stomach,Duodenum,Jejunum,B
The greater curvature forms which stomach border?,Right border,Left border,Superior border,Inferior border,B
Which organ is NOT related to the posterior stomach surface?,Pancreas,Spleen,Left kidney,Right kidney,D
The duodenum is approximately how long?,5 inches,10 inches,15 inches,20 inches,B
Which intestinal part has the most numerous and longest villi?,Duodenum,Jejunum,Ileum,Colon,B
The large intestine is approximately how long?,90 cm,180 cm,270 cm,360 cm,B
The cecum is located in which abdominal region?,Left iliac fossa,Right iliac fossa,Left hypochondrium,Right hypochondrium,B
Appendices epiploicae are filled with what substance?,Blood,Bile,Mucus,Fat,D
Which gland is wrapped around the mandibular ramus?,Sublingual gland,Submandibular gland,Parotid gland,Thyroid gland,C
The sublingual gland is located where?,Below the mandible,Below and in front of ear,Beneath the tongue,In the cheek,C
Which liver lobe is smaller?,Right lobe,Left lobe,Caudate lobe,Quadrate lobe,B
The hepatic artery carries what type of blood?,Oxygenated blood,Deoxygenated blood,Mixed blood,Lymphatic fluid,A
The common bile duct is formed by the union of which two structures?,Right and left hepatic ducts,Common hepatic duct and cystic duct,Common hepatic duct and pancreatic duct,Cystic duct and pancreatic duct,B
Which pancreatic part is related posteriorly to the abdominal aorta and left kidney?,Head,Neck,Body,Tail,C
The accessory pancreatic duct drains which part of the pancreas?,Head only,Body only,Tail only,Head and body,A
Which tooth part is embedded in the bone?,Crown,Root,Neck,Pulp,B
The mouth cavity proper is occupied mainly by which structure?,Teeth,Palate,Tongue,Cheeks,C
The funnel-shaped terminal part of the stomach is called?,Fundus,Body,Cardia,Pylorus,D
The small intestine is approximately how long?,3 meters,6 meters,9 meters,12 meters,B
The transverse colon extends between which two flexures?,Right colic and left colic,Hepatic and splenic,Duodenal and jejunal,Ileal and cecal,B
Which anal sphincter is under voluntary control?,Internal anal sphincter,External anal sphincter,Both sphincters,Neither sphincter,B
Saliva from the submandibular gland empties into?,Vestibule of mouth,Floor of mouth,Opposite upper second molar,Beneath tongue,B
The liver is described as what type of organ based on texture?,Hard and calcified,Soft and flexible,Very vascular and friable,Dense and muscular,C
Which structure is NOT found in the porta hepatis?,Portal vein,Hepatic artery,Hepatic duct,Hepatic vein,D
Bile is transported from the liver to the gallbladder via which structure?,Common hepatic duct,Cystic duct,Common bile duct,Pancreatic duct,B
The pancreas is described as having what type of functions?,Only exocrine,Only endocrine,Both exocrine and endocrine,Neither exocrine nor endocrine,C
