Question,Option1,Option2,Option3,Option4,Correct Answer
Which type of joint allows movement around two axes?,Uni-axial joints,Bi-axial joints,Multi-axial joints,Plane joints,Bi-axial joints
An ellipsoid joint has an oval convexity that fits into an elliptical concavity. An example is the...,Elbow joint,Wrist joint,Shoulder joint,Thumb joint,Wrist joint
A saddle joint has concavo-convex opposing surfaces. An example is the...,Wrist joint,Elbow joint,Carpo-metacarpal joint of thumb,Atlanto-axial joint,Carpo-metacarpal joint of thumb
Ball and socket joints are classified as...,Uni-axial,Bi-axial,Multi-axial,Non-axial,Multi-axial
The hip and shoulder joints are examples of...,Hinge joints,Pivot joints,Saddle joints,Ball and socket joints,Ball and socket joints
The annulus fibrosus of an intervertebral disc is composed of...,Hyaline cartilage,Fibrocartilage,Elastic cartilage,Dense fibrous tissue,Fibrocartilage
The inner gel-like center of an intervertebral disc is the...,Annulus fibrosus,Nucleus pulposus,Vertebral endplate,Articular cartilage,Nucleus pulposus
Costochondral joints between the ribs and costal cartilage are examples of...,Symphysis,Synchondrosis,Syndesmosis,Gomphosis,Synchondrosis
The joint between the first rib and the sternum is a...,Synchondrosis,Symphysis,Syndesmosis,Gomphosis,Synchondrosis
Which structure is NOT typically found inside a synovial joint?,Articular disc,Intra-articular ligament,Muscle tendon,Synovial membrane,Synovial membrane
The function of synovial fluid is to...,Connect bones together,Form the joint capsule,Lubricate and minimize friction,Provide blood supply,Lubricate and minimize friction
A patient presents with pain and instability in her knee. An MRI reveals a torn anterior cruciate ligament. This is an example of a(n)...,Articular disc,Intra-articular ligament,Muscle tendon,Fibrous capsule,Intra-articular ligament
A 70-year-old patient has severe osteoarthritis. Which joint component is primarily worn down in this condition?,Fibrous capsule,Synovial membrane,Articular hyaline cartilage,Ligaments,Articular hyaline cartilage
A football player dislocates his shoulder. This injury primarily involves damage to the...,Articular cartilage,Fibrous capsule and ligaments,Bone tissue,Synovial membrane,Fibrous capsule and ligaments
A gomphosis joint is specifically classified as a...,Cartilaginous joint,Fibrous joint,Synovial joint,Plane joint,Fibrous joint
Which joint type allows the greatest range of movement?,Plane joint,Hinge joint,Pivot joint,Ball and socket joint,Ball and socket joint
A synchondrosis is considered a temporary joint because it...,Dissolves with age,Is replaced by bone,Becomes a symphysis,Transforms into a synovial joint,Is replaced by bone
A symphysis joint is considered permanent because...,It never changes,The fibrocartilage persists throughout life,It turns into bone,It is immobile,The fibrocartilage persists throughout life
The presence of a joint cavity is a defining feature of all...,Fibrous joints,Cartilaginous joints,Synovial joints,Synchondroses,Synovial joints
A patient has a condition that stiffens the syndesmosis between the tibia and fibula. This would most affect...,Knee flexion,Ankle stability,Toe movement,Hip rotation,Ankle stability
The temporomandibular joint contains an articular disc. The primary function of this disc is to...,Secrete synovial fluid,Connect bones,Absorb shock and minimize friction,Provide blood supply,Absorb shock and minimize friction
In a pivot joint the movement allowed is primarily...,Flexion and extension,Abduction and adduction,Rotation,Gliding,Rotation
A plane joint such as the inter-carpal joint allows which type of movement?,Free multi-axial movement,Rotation,Minimal gliding,Flexion and extension only,Minimal gliding
The joint between the trapezium carpal bone and the first metacarpal is a...,Plane joint,Hinge joint,Saddle joint,Ellipsoid joint,Saddle joint
Which factor contributes to the stability of a ball and socket joint like the hip?,Shallow socket,Deep socket and strong ligaments,Thin articular cartilage,Small joint cavity,Deep socket and strong ligaments
A sprain is an injury to a...,Bone,Muscle tendon,Ligament,Articular cartilage,Ligament
The function of ligaments in a synovial joint is primarily to...,Secrete fluid,Connect muscle to bone,Connect bone to bone,Absorb shock,Connect bone to bone
A meniscus in the knee is a type of...,Ligament,Tendon,Articular disc,Fibrous capsule,Articular disc
The joint that allows you to shake your head "no" the atlanto-axial joint is a...,Hinge joint,Pivot joint,Saddle joint,Ellipsoid joint,Pivot joint
