Question, Option1, Option2, Option3, Option4, Correct Answer
The menstrual phase is characterized by, Bloody secretions, Clear discharge, Thick endometrium, High hormone levels, A
Shedding of the functional layer occurs due to cessation of, FSH and LH, Estrogen and progesterone, GnRH, HCG, B
The proliferative phase is under the control of, Progesterone, Estrogen, LH, FSH, B
The proliferative phase lasts, 3-7 days, 9-12 days, 13-15 days, 16-28 days, B
The proliferative phase involves regeneration of the, Myometrium, Functional layer of endometrium, Basal layer, Cervix, B
Endometrial thickness in the proliferative phase is about, 1 mm, 2 mm, 4 mm, 8 mm, C
The secretory phase is under the control of, Estrogen only, Progesterone only, Estrogen and progesterone, FSH and LH, C
The secretory phase lasts about, 7 days, 14 days, 21 days, 28 days, B
Endometrial glands fill with secretions and blood vessels become, Constricted, Tortuous and high, Degenerated, Fewer, B
Endometrial thickness in the secretory phase is about, 2 mm, 4 mm, 6 mm, 8 mm, D
The secretory phase prepares the uterus for, Menstruation, Ovulation, Pregnancy, Fertilization, C
If pregnancy does not occur the cycle starts over with, Proliferative phase, Secretory phase, Menstrual phase, Ovulation, C
The corpus luteum secretes hormones to maintain the, Uterine lining, Ovarian follicles, Cervical mucus, Vaginal pH, A
If fertilization occurs the corpus luteum is rescued by, Estrogen, Progesterone, HCG from the embryo, FSH from the pituitary, C
HCG has similar activity to, FSH, LH, Estrogen, Progesterone, B
HCG maintains the corpus luteum until the, Placenta takes over, Embryo implants, First trimester ends, Birth, A
The ovarian and uterine cycles are, Independent, Synchronized, Opposite, Random, B
The average menstrual cycle length is, 21 days, 28 days, 35 days, 40 days, B
Day 1 of the cycle is the first day of, Ovulation, Menstrual flow, Fertile window, Implantation, B
The fertile window is around, Menstruation, Ovulation, Secretory phase, Proliferative phase, B
Sperm can survive in the female tract for up to, 12 hours, 24 hours, 3-5 days, 7 days, C
The ovum can be fertilized for about, 6 hours, 12 hours, 24 hours, 48 hours, C
Timing intercourse around ovulation increases the chance of, Menstruation, Fertilization, Implantation, Menopause, B
Basal body temperature charting can help detect, Menstruation, Ovulation, Pregnancy, Menopause, B
Cervical mucus becomes clear stretchy and slippery near, Menstruation, Ovulation, Implantation, Menopause, B
Ovulation pain is also called, Dysmenorrhea, Mittelschmerz, Amenorrhea, Menorrhagia, B
Some women experience light spotting during, Menstruation, Ovulation, Implantation, Menopause, B
Hormonal contraceptives work by, Inducing ovulation, Suppressing ovulation, Thickening endometrium, Killing sperm, B
The absence of ovulation is called, Anovulation, Ovulation, Fertilization, Implantation, A
Anovulation can cause, Pregnancy, Infertility, Menstrual regularity, High hormone levels, B
Polycystic ovary syndrome is a common cause of, Excessive ovulation, Anovulation, Early menopause, Multiple births, B
Tracking the ovarian cycle can be used for, Birth control, Pregnancy diagnosis, Both A and B, Neither, C
