Question,Option1,Option2,Option3,Option4,Correct
When does chorion leave form,By 1st month,By 2nd month,By 3rd month,At birth,B
When does chorion frondosum form,By 1st month,By 2nd month,By 3rd month,At birth,B
What is the cytotrophoblast shell,Part of decidua,Structure for placental fixation,Fetal blood vessel,Maternal artery,B
What is the function of anchoring villi,Nutrient exchange,Gas exchange,Placental fixation,Waste removal,C
What is the function of absorbing villi,Fixation,Nutrient and gas exchange,Hormone production,Blood production,B
What bathes the villous tree in oxygenated blood,Maternal blood from spiral arteries,Fetal blood from umbilical artery,Amniotic fluid,Maternal venous blood,A
What forces blood into intervillous spaces,Low blood pressure,High blood pressure,Gravity,Fetal heart,B
What is the weight range for a full term newborn,2000-2500 gm,2500-3000 gm,3000-3500 gm,3500-4000 gm,C
What is the crown-rump length at 3 months,5 cm,10 cm,15 cm,20 cm,A
What is the weight at 3 months,30 gm,50 gm,100 gm,150 gm,B
What is the crown-rump length at 4 months,5 cm,10 cm,15 cm,20 cm,B
What is the weight at 4 months,50 gm,150 gm,250 gm,500 gm,B
What covers the maternal surface of placenta,Chorion,Decidua basalis,Amnion,Chorionic villi,B
What is the placental barrier composed of after simplification,Four layers,Three layers,Two layers,One layer,C
Which cells are lost from the barrier after 4 months,Syncytiotrophoblast,Fetal capillary endothelium,Cytotrophoblast,Extraembryonic mesoderm,C
What is the role of spiral arteries,Drain intervillous space,Supply oxygenated blood to villi,Carry fetal blood,Secrete hormones,B
What is the role of endometrial veins,Supply blood to villi,Drain blood from intervillous space,Carry fetal waste,Secrete hormones,B
What is the appearance of vernix caseosa,Yellow liquid,Whitish like toothpaste,Brown paste,Clear fluid,B
What is the composition of vernix caseosa,Only sebaceous secretion,Sebaceous secretion and desquamated epidermis,Only epidermal cells,Amniotic fluid and cells,B
When do eyes move to ventral aspect of face,1st month,3rd month,5th month,7th month,B
When do ears reach definitive position,1st month,3rd month,5th month,At birth,B
What is the CRL at full term in cm,30,33,36,40,C
What is the CHL at full term in cm,36,40,50,60,C
What persists sometimes until birth,Vernix,Lanugo,Physiological hernia,Midgut loops,B
What reduces during the third month,Fetal weight,Physiological hernia,Placental size,Amniotic fluid,B
What is the function of lanugo,Protection from fluid,Nutrition,Sensation,Temperature regulation,A
What is the function of vernix caseosa,Gas exchange,Protection from macerating fluid,Nutrient transfer,Waste removal,B
