The larynx cartilage attached to vocal cords is:,Thyroid cartilage,Cricoid cartilage,Epiglottic cartilage,Arytenoid cartilage,D
The right lung characteristic due to liver position is:,Larger and shorter,Smaller and longer,Thinner and taller,Same as left lung,A
The lung surface related to chest wall is:,Medial surface,Costal surface,Diaphragmatic surface,All surfaces,B
The collection of nerve cells in CNS is called:,Ganglion,Nucleus,Both terms,Neither term,B
The brain part that gives rise to oculomotor nerve is:,Midbrain,Pons,Medulla oblongata,Cerebellum,A
Cranial nerves attached to pons include:,Trigeminal and abducens,Facial and vestibulocochlear,Both A and B,Glossopharyngeal and vagus,C
Spinal nerves that form cervical plexus are:,Anterior rami,Posterior rami,Both rami,Roots only,A
The heart chamber that has trabeculae carneae is:,Right atrium only,Right ventricle only,Both ventricles,All chambers,C
The valve between left atrium and ventricle is:,Tricuspid valve,Mitral valve,Aortic valve,Pulmonary valve,B
Blood vessels that are thick-walled and elastic are:,Arteries,Veins,Capillaries,All vessels,A
The lymphoid tissue in small intestine is called:,Tonsils,Peyer's patches,Thymus,Spleen,B
The anatomical study of borders of organs on skin surface is called:,Radiographic anatomy,Surface anatomy,Applied anatomy,Developmental anatomy,B
Movement of sole inward is:,Eversion,Inversion,Dorsiflexion,Plantarflexion,B
The body cavity that houses spinal cord is:,Cranial cavity,Vertebral canal,Thoracic cavity,Abdominal cavity,B
Skin appendages that open into hair follicles are:,Sweat glands,Sebaceous glands,Both,Neither,B
Muscle attachment by cord-like collagenous fibers is:,Fleshy attachment,Tendon,Aponeurosis,All types,B
Bone function that includes hematopoiesis is:,Protection,Movement,Support,Blood cell formation,D
Cartilage that is glossy and translucent is:,Hyaline cartilage,Elastic cartilage,Fibrocartilage,All types,A
Joints that are immobile and temporary are:,Fibrous joints,Primary cartilaginous joints,Secondary cartilaginous joints,Synovial joints,B
The bone that forms upper jaw is:,Mandible,Maxilla,Zygomatic,Nasal bone,B
The vertebrae with largest bodies are:,Cervical vertebrae,Thoracic vertebrae,Lumbar vertebrae,All equal,C
The bone that forms lateral malleolus is:,Tibia,Fibula,Both,Neither,B
The part of stomach that has lesser curvature is:,Right border,Left border,Superior border,Inferior border,A
The duct that carries bile from liver is:,Cystic duct,Common hepatic duct,Common bile duct,All options,B
The part of respiratory system with alveoli is:,Trachea,Bronchi,Lungs,All parts,C
The lung with horizontal fissure is:,Right lung,Left lung,Both lungs,Neither lung,A
The brain part concerned with equilibrium is:,Cerebrum,Cerebellum,Brainstem,Diencephalon,B
The heart chamber that receives deoxygenated blood is:,Right atrium,Right ventricle,Both A and B,Left atrium,C
The lymphatic vessel that drains most of body is:,Right lymphatic duct,Thoracic duct,Both equally,Neither vessel,B
A 55-year-old patient has difficulty with fine motor coordination. This function is primarily controlled by the:,Frontal lobe,Parietal lobe,Cerebellum,Brainstem,C
Which term describes movement away from point of attachment?,Proximal,Distal,Medial,Lateral,B
The skin layer that acts as heat insulator is:,Epidermis,Dermis,Superficial fascia,Deep fascia,C
Muscles that have single central nuclei are:,Skeletal muscles,Cardiac muscles,Smooth muscles,All muscle types,B
The cytoplasm of muscle fiber is called:,Sarcoplasm,Sarcolemma,Sarcomere,Myofibril,A
Muscles that prevent unwanted movement are called:,Prime movers,Antagonists,Synergists,Fixators,C
Bones that protect vital organs like brain are:,Long bones,Flat bones,Irregular bones,All bone types,B
Cartilage that is devoid of blood vessels includes:,Hyaline cartilage only,Elastic cartilage only,Fibrocartilage only,All cartilage types,D
Joints between intervertebral discs are classified as:,Fibrous joints,Primary cartilaginous joints,Secondary cartilaginous joints,Synovial joints,C
The bone that forms forehead and roof of orbits is:,Parietal bone,Frontal bone,Occipital bone,Sphenoid bone,B
The ribs that are most inferior are:,True ribs,False ribs,Floating ribs,All ribs equal,C
The bone that forms heel is:,Talus,Calcaneus,Cuboid,Navicular,B
The part of alimentary canal with haustra is:,Stomach,Small intestine,Large intestine,All parts,C
The salivary gland that produces serous secretion is:,Parotid gland only,Submandibular gland only,Sublingual gland only,All glands,A
The stomach part that has pyloric sphincter is:,Fundus,Body,Pylorus,Cardia,C
The part of small intestine with Brunner's glands is:,Duodenum,Jejunum,Ileum,All parts,A
The liver surface related to right kidney is:,Anterior surface,Superior surface,Posterior surface,Inferior surface,D
The pancreas function that includes insulin production is:,Exocrine function,Endocrine function,Both functions,Neither function,B
The nasal part concerned with smell has:,Olfactory epithelium,Respiratory epithelium,Both types,Neither type,A
The larynx cartilage that is leaf-shaped is:,Thyroid,Cricoid,Epiglottic,Arytenoid,C
The bronchi that are 10 in number are:,Main bronchi,Lobar bronchi,Segmental bronchi,All bronchi,C
The lung border related to vertebral column is:,Anterior border,Posterior border,Inferior border,All borders,B
The point where neurons communicate is called:,Nucleus,Ganglion,Synapse,All options,C
The brain part that controls vital functions like breathing is:,Cerebrum,Cerebellum,Brainstem,Diencephalon,C
Cranial nerve that is motor to tongue muscles is:,Facial nerve,Glossopharyngeal nerve,Vagus nerve,Hypoglossal nerve,D
Spinal nerves that contain only sensory fibers are:,Anterior roots,Posterior roots,Both roots,Neither root,B
The heart layer that lines chambers and valves is:,Epicardium,Myocardium,Endocardium,Pericardium,C
The blood circulation through lungs is:,Systemic circulation,Pulmonary circulation,Coronary circulation,Hepatic circulation,B
The lymphoid organ that is primary site for T-cell maturation is:,Spleen,Thymus,Lymph nodes,Tonsils,B

Question,Option A,Option B,Option C,Option D,Correct Answer
A 55-year-old chronic alcoholic presents with jaundice and impaired drug metabolism. Which organelle in hepatocytes is most likely affected?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
During tissue processing which step follows dehydration and precedes embedding?,Clearing,Fixation,Sectioning,Staining,A
A researcher needs to examine specific protein localization using fluorescent tags. Which microscope is essential?,Fluorescence microscope,Phase-contrast microscope,Bright-field microscope,Electron microscope,A
All of the following are characteristics of the Golgi apparatus EXCEPT:,Composed of flattened sacs called cisternae,Has cis and trans faces,Contains respiratory enzymes,Forms secretory vesicles,C
A patient with Tay-Sachs disease has accumulation of undigested lipids in neurons. Which organelle is dysfunctional?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
Which cellular structure appears as two electron-dense layers separated by a light zone under EM?,Cell membrane,Mitochondria,Nucleus,Ribosomes,A
An elderly patient shows abundant age pigment in cardiac muscle cells. This pigment is identified as:,Lipofuscin,Melanin,Hemoglobin,Bilirubin,A
What is the magnification power of electron microscopes compared to light microscopes?,Approximately 500000,Approximately 2000,Approximately 10000,Approximately 100000,A
In paraffin technique what is the purpose of washing after fixation?,Remove excess fixative,Dehydrate tissue,Clear tissue,Embed tissue,A
A cell from the zona fasciculata of adrenal cortex would show abundant SER for:,Steroid hormone synthesis,Protein synthesis,ATP production,Digestive enzyme production,A
A karyotype reveals 47 XXY chromosome pattern. This is characteristic of:,Klinefelter syndrome,Turner syndrome,Down syndrome,Patau syndrome,A
Which of the following is NOT a function of the glycocalyx?,Energy production,Cell protection,Cell adhesion,Antigen presentation,A
A patient with cholelithiasis has bilirubin crystal formation. These represent which type of inclusion?,Crystals,Stored food,Endogenous pigment,Exogenous pigment,A
Which organelle synthesizes proteins for secretion?,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Golgi apparatus,Mitochondria,A
All of the following are true about mitochondria EXCEPT:,Contain circular DNA,Have double membrane,Divide by binary fission,Synthesize secretory proteins,D
A biopsy sample shows cells with strong cytoplasmic acidophilia. This suggests abundance of:,Smooth ER or mitochondria,Rough ER or free ribosomes,Lysosomes,Peroxisomes,A
Which RNA type contains anticodons and carries amino acids?,tRNA,mRNA,rRNA,snRNA,A
A lymphocyte with condensed heterochromatin and dark nucleus is typically:,Inactive,Actively synthesizing proteins,Undergoing division,Secreting antibodies,A
Which chromosomal region contains repetitive DNA sequences and shortens with aging?,Telomeres,Centromeres,Kinetochores,Satellite regions,A
A pancreatic beta cell shows cytoplasmic basophilia due to abundant:,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Lipid droplets,Secretory granules,A
Which organelle contains enzymes for beta-oxidation of fatty acids?,Peroxisomes,Lysosomes,Mitochondria,Golgi apparatus,A
A patient with Crigler-Najjar syndrome has impaired bilirubin conjugation due to SER dysfunction in:,Liver cells,Pancreatic cells,Muscle cells,Neuronal cells,A
In H&E staining, which cellular component stains blue with hematoxylin?,Nucleus,Cytoplasm,Mitochondria,Golgi apparatus,A
During tissue processing, which chemical is commonly used as a fixative?,Formaldehyde,Xylene,Alcohol,Paraffin,A
Which of the following is a primary lysosome?,Homogeneous electron-dense vesicle,Heterogeneous vesicle with debris,Vesicle fused with phagosome,Vesicle containing lipofuscin,A
A plasma cell shows a prominent negative Golgi image indicating active:,Antibody secretion,Lipid storage,Glycogen synthesis,Detoxification,A
Which organelle forms the axoneme of cilia and flagella?,Microtubules,Intermediate filaments,Microfilaments,All of the above,A
All of the following are Golgi apparatus functions EXCEPT:,Protein glycosylation,Lipid synthesis,Lysosome formation,Secretory vesicle formation,B
A patient with Gaucher disease has glucocerebroside accumulation in macrophages due to:,Lysosomal enzyme deficiency,Peroxisomal enzyme deficiency,Mitochondrial disorder,Golgi dysfunction,A
Which nuclear component contains the nucleolar organizer region?,Nucleolus,Nuclear envelope,Nuclear pore,Nucleoplasm,A
A hepatocyte with prominent nucleolus and extensive RER is actively:,Synthesizing plasma proteins,Storing glycogen,Detoxifying drugs,Producing bile,A
Which transport mechanism moves substances down concentration gradient without energy?,Passive transport,Active transport,Bulk transport,All of the above,A
A patient with malignant hyperthermia may have defective calcium regulation in:,Sarcoplasmic reticulum,Rough ER,Golgi apparatus,Peroxisomes,A
Which chromatin type is transcriptionally inactive and condensed?,Heterochromatin,Euchromatin,Both neither,A
In tissue processing what is the purpose of using increasing alcohol concentrations?,Gradual dehydration to prevent shrinkage,Rapid water removal,Tissue clearing,Protein fixation,A
Which organelle contains acid hydrolases for intracellular digestion?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
A Leydig cell from testes synthesizing testosterone would show abundant:,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Free ribosomes,Lysosomes,A
Which statement about ribosomal structure is correct?,Composed of RNA and protein,Surrounded by lipid membrane,Found only in nucleus,Synthesize carbohydrates,A
A patient with Niemann-Pick disease has sphingomyelin accumulation due to:,Lysosomal enzyme deficiency,Peroxisomal enzyme deficiency,Mitochondrial disorder,Golgi dysfunction,A
Which process describes water movement across semipermeable membranes?,Osmosis,Simple diffusion,Facilitated diffusion,Active transport,A
All of the following are RNA types involved in protein synthesis EXCEPT:,mRNA,tRNA,rRNA,DNA,D
An adipocyte with signet ring appearance contains a large central:,Lipid droplet,Glycogen granule,Protein aggregate,Pigment granule,A
Which organelle is responsible for phospholipid and cholesterol synthesis?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A study requires localization of specific enzymatic activity in tissue sections. Which technique is used?,Enzyme histochemistry,Immunohistochemistry,H&E staining,Electron microscopy,A
Which of the following is NOT a function of peroxisomes?,Protein synthesis,H2O2 metabolism,Lipid metabolism,Drug detoxification,A
What is the typical section thickness for electron microscopy?,50-100 nm,5-7 µm,1-2 µm,0.5-1 mm,A
A patient with vitiligo has loss of which pigment from skin?,Melanin,Hemoglobin,Lipofuscin,Bilirubin,A
Which cellular structure contains blood group antigens?,Glycocalyx,Nuclear envelope,Mitochondrial membrane,Golgi apparatus,A
All of the following are membranous organelles EXCEPT:,Lysosomes,Peroxisomes,Mitochondria,Centrioles,D
A kidney cell with numerous peroxisomes is actively engaged in:,Detoxification and lipid metabolism,Protein synthesis,Energy production,Calcium storage,A
Which statement about nuclear pores is correct?,Regulate nucleocytoplasmic transport,Allow free passage of all molecules,Are present only in dividing cells,Are visible with light microscopy,A
A patient with neuronal ceroid lipofuscinosis shows autofluorescent material in neurons representing:,Accumulated residual bodies,Active primary lysosomes,New mitochondria,Secretory granules,A
Which organelle adds phosphate groups to proteins?,Golgi apparatus,Mitochondria,Nucleus,Peroxisomes,A
Why are frozen sections used in enzyme histochemistry?,Preserve labile enzyme activity,Provide better resolution,Allow thicker sections,Reduce cost,A
Which term describes the complex of DNA and histone proteins?,Chromatin,Nucleoplasm,Nuclear matrix,Cytoskeleton,A
A cell with numerous attached ribosomes on RER is synthesizing proteins for:,Secretion or lysosomes,Intracellular use,Energy production,Detoxification,A
All of the following are lysosomal functions EXCEPT:,Digestion of endocytosed material,Autophagy of damaged organelles,ATP synthesis,Bone resorption,C
Which mitochondrial space contains enzymes for Krebs cycle?,Matrix,Cristae,Intermembrane space,Outer membrane,A
A patient with Kearns-Sayre syndrome has progressive external ophthalmoplegia due to:,Mitochondrial DNA mutations,Lysosomal storage,Peroxisomal deficiency,Golgi dysfunction,A
What is the resolution limit of electron microscopes?,0.2 nm,0.2 µm,2.0 nm,20 nm,A
In staining procedures, what follows dehydration before mounting?,Xylene,Rehydration,Clearing,Fixation,A
Which nucleolar region contains newly formed ribosomal subunits?,Pars granulosa,Pars fibrosa,Nucleolar organizer,Nuclear matrix,A
A neutrophil with numerous secondary lysosomes is actively:,Digesting phagocytosed bacteria,Synthesizing enzymes,Producing energy,Storing glycogen,A
All of the following are components of the cytoskeleton EXCEPT:,Microtubules,Intermediate filaments,Actin filaments,Peroxisomes,D
Which process involves engulfment of large solid particles?,Phagocytosis,Pinocytosis,Receptor-mediated endocytosis,Exocytosis,A
A patient with cardiomyopathy may have defects in which intermediate filament?,Desmin,Keratin,Vimentin,Neurofilaments,A
Which organelle's membrane contains ribosomes and is continuous with nuclear envelope?,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Golgi apparatus,Mitochondria,A
What is the main advantage of phase-contrast microscopy?,Viewing living unstained cells,High resolution,Color imaging,Viewing fluorescent labels,A
Which chromatin type is decondensed and genetically active?,Euchromatin,Heterochromatin,Both neither,A
A goblet cell with extensive Golgi apparatus is actively:,Secreting mucin,Storing energy,Detoxifying,Synthesizing DNA,A
All of the following are membrane transport processes EXCEPT:,Osmosis,Active transport,Vesicular transport,Transcription,D
Which organelle stores calcium ions in muscle cells?,Sarcoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A karyotype showing 47 XY +21 indicates:,Down syndrome in male,Turner syndrome,Klinefelter syndrome,Edward syndrome,A
Which cellular structure duplicates before cell division and forms spindle poles?,Centrioles,Mitochondria,Golgi apparatus,Endoplasmic reticulum,A
During tissue embedding what is the final step before sectioning?,Paraffin infiltration and blocking,Dehydration,Clearing,Fixation,A
Which organelle is responsible for glycogen metabolism in liver cells?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A cell storing abundant glycogen particles would stain positively with:,PAS stain,Sudan black,Osmium tetroxide,Hematoxylin,A
All of the following are cytoplasmic inclusions EXCEPT:,Glycogen,Lipids,Pigments,Ribosomes,D
Which cytoskeletal element is responsible for amoeboid movement?,Microfilaments,Intermediate filaments,Microtubules,All of the above,A
A patient with epidermolytic hyperkeratosis has defects in:,Keratin filaments,Vimentin filaments,Desmin filaments,Neurofilaments,A
Which organelle fuses with phagosomes to form heterophagosomes?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
In immunohistochemistry what binds to the specific protein antigen?,Primary antibody,Secondary antibody,Enzyme substrate,Fluorescent dye,A
Which statement about RNA is correct?,Contains ribose sugar and uracil,Contains deoxyribose and thymine,Double-stranded helix,Found only in nucleus,A
A rapidly dividing cancer cell would show prominent nucleolus indicating active:,Ribosome production,Energy production,Detoxification,Storage functions,A
All of the following are functions of chromatin EXCEPT:,Genetic information storage,Direct protein synthesis,Formation of RNA types,Energy production,D
Which organelle uses molecular oxygen for oxidation reactions?,Peroxisomes,Lysosomes,Mitochondria,Golgi apparatus,A
A patient with Dubin-Johnson syndrome has impaired bilirubin excretion due to dysfunction in:,Hepatocyte organelles,Pancreatic acini,Renal tubules,Alveolar cells,A
What describes the most highly organized level of chromatin packaging?,Chromosomes,Euchromatin,Nucleosomes,Histones,A
Why is mild fixation used in enzyme histochemistry?,Preserve enzyme activity while maintaining structure,Improve staining intensity,Increase tissue transparency,Facilitate sectioning,A
Which organelle synthesizes proteins for intracellular use?,Free ribosomes,Attached ribosomes,Golgi apparatus,Rough endoplasmic reticulum,A
A skeletal muscle fiber with numerous mitochondria reflects high:,Energy demands for contraction,Storage capacity,Detoxification needs,Secretory activity,A
All of the following are medical applications of cell culture EXCEPT:,Vaccine production,Drug screening,Regenerative medicine,In vivo diagnosis,D
Which RNA type forms the catalytic component of ribosomes?,rRNA,mRNA,tRNA,snRNA,A
A patient with MERFF syndrome has myoclonic epilepsy due to:,Mitochondrial dysfunction,Lysosomal storage,Peroxisomal deficiency,Golgi dysfunction,A
Which lysosomal type digests the cell's own components?,Autophagosome,Heterophagosome,Multivesicular body,Primary lysosome,A
What is essential for fluorescence microscopy besides the microscope?,Specific wavelength filters and dark room,Bright light source,Phase contrast,Electron gun,A
Which cellular structure appears as membrane-bound electron dense granules in secretory cells?,Secretory granules,Lysosomes,Peroxisomes,Mitochondria,A
