Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
Which great vessel is NOT surrounded by the pericardium?,Superior vena cava,Pulmonary veins,Aorta,Pulmonary arteries,None are surrounded,D
The rough anterior part of the right atrium contains horizontal ridges called:,Crista terminalis,Pectinate muscles,Trabeculae carneae,Papillary muscles,B
The right atrium receives blood from all EXCEPT:,Superior vena cava,Inferior vena cava,Coronary sinus,Pulmonary veins,D
The infundibulum leads blood from the right ventricle to the:,Aorta,Superior vena cava,Pulmonary artery,Coronary sinus,C
The pulmonary orifice is guarded by how many semilunar cusps?,1,2,3,4,C
The left atrioventricular orifice is guarded by which valve?,Tricuspid valve,Bicuspid valve,Pulmonary valve,Aortic valve,B
The aortic orifice is guarded by how many semilunar cusps?,1,2,3,4,C
Systemic circulation begins with blood pumping from:,Right ventricle,Left ventricle,Right atrium,Left atrium,B
Deoxygenated blood returns to the right atrium via:,Pulmonary veins,Coronary sinus,Superior and inferior vena cava,Aorta,C
The coronary arteries arise from which vessel?,Pulmonary trunk,Ascending aorta,Superior vena cava,Coronary sinus,B
Which statement about arteries is correct?,They always carry oxygenated blood,They have thin walls,They contain valves,They are elastic and pulsating,D
Veins are characterized by:,Thick walls,Reddish color,Pulsations,Presence of valves,D
The connection between arteries and veins through smallest vessels occurs via:,Anastomoses only,Sinusoids only,Capillaries only,Capillaries sinusoids and shunts,D
Sinusoids are numerous in all these organs EXCEPT:,Liver,Spleen,Bone marrow,Heart,D
Arteriovenous shunts are plentiful in which tissue?,Bone marrow,Heart muscle,Skin,Liver,C
Lymph is most similar in composition to:,Whole blood,Blood plasma,Interstitial fluid,Saliva,C
Lymph capillaries differ from blood capillaries by having:,Smaller diameter,Thicker walls,Wide pores and blind ends,More endothelial layers,C
Afferent lymph vessels carry lymph:,Away from lymph nodes,To lymph nodes,Toward blood vessels,To lymph ducts,B
The thoracic duct drains lymph from:,Right upper limb only,Right side of head only,Greater part of the body,Right hemi-thorax only,C
The right lymphatic duct ends in the:,Left innominate vein,Right innominate vein,Superior vena cava,Azygos vein,B
Bone marrow as a primary lymphoid tissue is found in all EXCEPT:,Sternum,Ribs,Long bone shafts,Vertebrae,C
The thymus is located:,In the neck,Behind the sternum,In the abdomen,In the axilla,B
Secondary lymphoid tissues function to:,Produce lymphocytes,Mature lymphocytes,Filter and trap antigens,Circulate lymph,C
Lymph nodes are described as:,Unencapsulated,Bean-shaped encapsulated,Rod-shaped,Irregular shapes,B
The spleen is situated in:,Right upper abdomen,Left upper abdomen,Posterior mediastinum,Pelvic cavity,B
Waldeyer's ring includes tonsils located in all areas EXCEPT:,Palate,Tongue,Nasopharynx,Ileum,D
Peyer's patches are examples of:,Primary lymphoid tissue,Secondary lymphoid tissue,Tertiary lymphoid tissue,Not lymphoid tissue,B
The coronary sulcus contains:,Pulmonary arteries,Coronary arteries and veins,Aorta,Superior vena cava,B
The trabeculae carneae in ventricles are:,Smooth outflow tracts,Irregular muscular ridges,Valve attachments,Papillary muscles,B
Chordae tendineae are attached to:,Coronary arteries,Papillary muscles,Trabeculae carneae,Valve cusps,B
The left ventricle pumps blood into the:,Pulmonary artery,Aorta,Superior vena cava,Coronary sinus,B
Which vessel carries deoxygenated blood?,Pulmonary artery,Aorta,Coronary arteries,Systemic arteries,A
The pulmonary circulation ends in the:,Right atrium,Left atrium,Right ventricle,Left ventricle,B
Systemic circulation provides oxygen to:,Lungs only,Heart only,Body tissues,Liver only,C
Anastomoses between arteries provide:,Valve formation,Alternative blood pathways,Venous drainage,Lymphatic connections,B
Veins start as _____ that unite to form larger veins.,Arterioles,Capillaries,Venules,Lymphatics,C
Lymphatic vessels have a beaded appearance due to:,Wide pores,Valves,Blind ends,Smooth muscle,B
Lymph nodes act as _____ during lymphatic circulation.,Pumps,Filters,Producers,Storers,B
The thymus is most active in:,Elderly adults,Children,Newborns only,All ages equally,B
The spleen filters:,Lymph only,Blood only,Both lymph and blood,Neither,B
Lymphoid tissues in the ileum are called:,Tonsils,Peyer's patches,Waldeyer's ring,Lymph nodes,B
The coronary sinus drains into the:,Left atrium,Right atrium,Left ventricle,Right ventricle,B
Which heart chamber has the thickest wall?,Right atrium,Right ventricle,Left atrium,Left ventricle,D
The crista terminalis is found in the:,Left atrium,Right atrium,Left ventricle,Right ventricle,B
Pectinate muscles are characteristic of the:,Left ventricle,Right ventricle,Left atrium,Right atrium,D
The fossa ovalis is a remnant of fetal:,Ductus arteriosus,Foramen ovale,Umbilical vein,Ductus venosus,B
The infundibulum is part of the:,Left atrium,Right atrium,Left ventricle,Right ventricle,D
The aortic vestibule is part of the:,Right atrium,Left atrium,Right ventricle,Left ventricle,D
Papillary muscles function to:,Pump blood,Prevent valve prolapse,Conduct impulses,Filter blood,B
Semilunar valves prevent backflow into:,Atria,Ventricles,Arteries,Veins,B
The systemic circulation returns blood to the heart via:,Pulmonary veins,Coronary sinus,Venae cavae,Aorta,C
The pulmonary circulation carries blood to the:,Body,Lungs,Heart,Liver,B
Arteries become _____ as they approach capillaries.,Larger,Thicker,Thinner,More muscular,C
Veins have _____ pressure compared to arteries.,Higher,Lower,Same,Variable,B
Lymph formation begins with _____ filtering from blood vessels.,Cells,Proteins,Fluid,Electrolytes,C
Lymph capillaries are absent from:,Muscle tissue,CNS,Skin,Bone,B
The thoracic duct is the _____ lymphatic channel.,Shortest,Widest,Longest,Smallest,C
Primary lymphoid organs include _____ and _____.,Spleen and lymph nodes,Thymus and bone marrow,Tonsils and Peyer's patches,Liver and spleen,B
Secondary lymphoid organs ____ antigens.,Produce,Mature,Filter and trap,Destroy only,C
The spleen is the _____ lymphoid organ.,Smallest,Most numerous,Largest,Least important,C
