
Question,Option A,Option B,Option C,Option D,Correct Answer
Which organelle degrades toxic molecules using catalase enzyme?,Peroxisomes,Lysosomes,Mitochondria,Golgi apparatus,A
A patient with Gilbert syndrome has impaired bilirubin metabolism in:,Hepatocytes SER,Pancreatic RER,Muscle mitochondria,Neuronal lysosomes,A
What describes the highly condensed form of chromatin during cell division?,Chromosomes,Euchromatin,Nucleosomes,Histones,A
Why are frozen sections preferred for enzyme histochemistry?,Avoid denaturation by heat and solvents,Better staining quality,Thinner sections,Faster processing,A
Which organelle synthesizes membrane phospholipids?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A cardiac muscle cell with numerous mitochondria reflects high:,Energy demands,Storage capacity,Detoxification needs,Secretory activity,A
All of the following are applications of cell culture EXCEPT:,Vaccine production,Cancer research,Regenerative medicine,In vivo animal testing,D
Which RNA type carries amino acids to the ribosome during translation?,tRNA,mRNA,rRNA,snRNA,A
A patient with MELAS syndrome has mitochondrial dysfunction affecting:,Energy production in various tissues,Protein synthesis in liver,Lipid metabolism in adipocytes,Detoxification in kidneys,A
Which lysosomal type digests fluid droplets from pinocytosis?,Multivesicular body,Heterophagosome,Autophagosome,Primary lysosome,A
What is required for proper visualization in fluorescence microscopy?,Dark room and specific filters,Bright light source,Phase contrast,Electron beam,A
Which cellular structure appears as apical acidophilic granules in secretory cells?,Secretory granules,Lysosomes,Peroxisomes,Mitochondria,A
