Question,Option1,Option2,Option3,Option4,Correct Answer
The elementary particles on cristae carry what?,DNA,Ribosomes,Respiratory enzymes,Hydrolytic enzymes,C
What is the fate of digested nutrients from lysosomes?,They are extruded from the cell,They diffuse back into the cytoplasm for reuse,They are sent to the nucleus,They are stored in peroxisomes,B
Which organelle modifies and sorts proteins for secretion?,Rough Endoplasmic Reticulum,Smooth Endoplasmic Reticulum,Golgi apparatus,Lysosome,C
A build-up of glycogen due to inability to degrade it is a?,Mitochondrial disease,Lysosomal storage disorder,Peroxisomal disorder,Golgi apparatus defect,B
Lysosomal enzymes are active at what pH?,Neutral pH,Alkaline pH,Acidic pH,Variable pH,C
What is the role of SER in drug detoxification?,It produces the drugs,It stores the drugs,It contains cytochrome P450 enzymes,It packages drugs for secretion,C
The autophagosome fuses with?,Material from outside the cell,Old cellular organelles and membranes,Fluid from the cytoplasm,The cell membrane,B
Which cells have many mitochondria?,Fat cells (adipocytes),Red blood cells,Liver cells and muscle cells,Skin surface cells,C
The term acidophilia for SER means the cytoplasm stains?,Blue with basic dyes,Pink with acidic dyes,Green with special stains,Black with silver,B
Which membranous organelle is not visible in H&E?,Nucleus,Mitochondria,Secretory granules,Rough Endoplasmic Reticulum,B
The function of the outer mitochondrial membrane is to?,Carry out aerobic respiration,Act as a selective barrier,Store calcium ions,Synthesize proteins,B
