Question,Option1,Option2,Option3,Option4,Correct Answer
Which is NOT a step in the paraffin technique?,Fixation,Dehydration,Polymerase Chain Reaction,Clearing,C
A biopsy is left unfixed too long. What is the consequence?,The tissue will be over-dehydrated,The tissue will be perfectly fine,Autolysis will degrade cellular structures,The wax will not penetrate,C
Why is a frozen section lower quality than paraffin?,It is too thick,It uses a different stain,Freezing causes ice crystal artifacts,It is never stained,C
What is the main advantage of the paraffin technique?,It is much faster,It provides better morphological detail,It is cheaper,It requires less training,B
The term acidophilia describes components that?,Stain blue with basic dyes,Stain pink with acidic dyes,Are repelled by dyes,Are only found in the nucleus,B
After sectioning why are sections floated in a water bath?,To stretch them and remove wrinkles,To begin the staining process,To dissolve the wax,To fix them to the slide,A
What is the function of the rotary microtome?,To stain tissue sections,To freeze the tissue,To cut very thin serial sections,To view the tissue under a microscope,C
In which solution are tissues after dehydration and before impregnation?,Water,Formalin,Alcohol,Xylene,D
What is the correct sequence of alcohol concentrations?,From 100% down to 50%,From 50% up to 100%,Directly into 100%,It does not matter,B
What happens during impregnation?,It is cut into thin sections,It is stained,Water is removed,Molten wax replaces the xylene,D
A hazy section could be due to incomplete?,Sectioning,Clearing,Fixation,Staining,B
Which step typically requires heat?,Dehydration,Clearing,Impregnation,Sectioning,C
What is the role of the water bath in sectioning?,To dehydrate the sections,To cool the microtome,To flatten the ribbon of sections,To stain the sections,C
Why isnt freezing used for all biopsies?,It is too expensive,It is only for bone samples,Paraffin gives superior permanent sections,The freezing technique is illegal,C
If xylene is skipped what happens when adding wax?,The wax would mix with the alcohol,The wax would not penetrate properly,The tissue would stain better,The section would be thinner,B
The blue nucleus in H&E is due to binding of?,Eosin to DNA,Hematoxylin to RNA,Hematoxylin to DNA and RNA,Eosin to cytoplasmic proteins,C
A tissue sample is placed in water not formalin. What is the risk?,The tissue will be perfectly preserved,The tissue will dehydrate too fast,Autolysis and putrefaction will begin,The wax will not melt,C
Which property makes xylene a good clearing agent?,It is miscible with both alcohol and paraffin,It is a strong fixative,It is a vibrant stain,It is soluble in water,A
After staining a section is passed through alcohol to?,To remove the wax,To rehydrate the section,To dehydrate the section before clearing,To fix the tissue,C
What is the final chemical before the coverslip is applied?,Water,Alcohol,Xylene,Formalin,C
