Question,Option1,Option2,Option3,Option4,Correct Answer
Patient admitted to hospital complaining from painful urination. Also he complains from bleeding in urine. When take a biopsy from his bladder the report showed urinary bladder carcinoma. What do you think the normal epithelium lining of her urinary bladder,Transitional epithelium,Stratified columnar,Stratified cuboidal,Stratified squamous non keratinized,A
27 female patient admitted to hospital complaining from infertility and by investigation the problem was detected in her fallopian tube's epithelium lining Could you choose what is the normal fallopian lining,Simple columnar epithelium,Simple columnar ciliated,Simple cuboidal,Simple cuboidal ciliated,B
Which statement is true about brown adipose connective tissue,It is found in interscapular regionion,It is found in Subcutaneous tissue,It is found in Yellow Bone marrow,It is poor in blood supply,A
Which of the following fibers can be stained with orscin stain,Collegen fibers,Elastic fibers,Reticular fibers,,B
Where is mucoid connective tissue can be found,Tendons of muscles,Solera of eye,Umbilical cord,Wall of aorta,C
15 y Male patient came to the surgical clinic with sever pain in the ankle after playing football with his collegues. By examination there were injury in the Tendon of calf muscle. Which of the following cells are responsible for repairing this Tendon,Macrophages,Plasma cells,Fibroblasts,Mast cells,C
A thickened rod like structure present at the caudal part of the embryonic disc is called,Primitive streak,Primitive node,Primitive pit,Notochord,A
Remnants of notochord give,Annulus fibrosis of intervertebral disc,the nucleus pulposus of intervertebral disc,Vertebrae,Spinal cord,B
Immature inner layer of cells with well-defined cell boundaries is called,Syncytiotropholast,Cytotrophoblast,Epiblast,Hypoblast,B
Production of human chorionic gonadotrophin is by,Syncytiotropholast,Cytotrophoblast,Epiblast,Hypoblast,A
What is the correct lineage of a zygote,Zygote -> Blastomere -> Morula -> Blasto cyst,Zygote -> Morula -> Blastomere -> Blastula,Zygote -> Blastula -> Morula -> Blasto cyst,Zygote -> Blasto cyst -> Blastula -> Blastomere,A
The process of formation of trilaminar germ disc,blastocyst,morula,gastrulation,Notochord,C
