Question,Option A,Option B,Option C,Option D,Correct Answer
Joints between intervertebral discs are classified as:,Fibrous joints,Primary cartilaginous joints,Secondary cartilaginous joints,Synovial joints,C
The bone that forms forehead and roof of orbits is:,Parietal bone,Frontal bone,Occipital bone,Sphenoid bone,B
The ribs that are most inferior are:,True ribs,False ribs,Floating ribs,All ribs equal,C
The bone that forms heel is:,Talus,Calcaneus,Cuboid,Navicular,B
The part of alimentary canal with haustra is:,Stomach,Small intestine,Large intestine,All parts,C
The salivary gland that produces serous secretion is:,Parotid gland only,Submandibular gland only,Sublingual gland only,All glands,A
The stomach part that has pyloric sphincter is:,Fundus,Body,Pylorus,Cardia,C
The part of small intestine with Brunner's glands is:,Duodenum,Jejunum,Ileum,All parts,A
The liver surface related to right kidney is:,Anterior surface,Superior surface,Posterior surface,Inferior surface,D
The pancreas function that includes insulin production is:,Exocrine function,Endocrine function,Both functions,Neither function,B
The nasal part concerned with smell has:,Olfactory epithelium,Respiratory epithelium,Both types,Neither type,A
The larynx cartilage that is leaf-shaped is:,Thyroid,Cricoid,Epiglottic,Arytenoid,C
The bronchi that are 10 in number are:,Main bronchi,Lobar bronchi,Segmental bronchi,All bronchi,C
The lung border related to vertebral column is:,Anterior border,Posterior border,Inferior border,All borders,B
The point where neurons communicate is called:,Nucleus,Ganglion,Synapse,All options,C
The brain part that controls vital functions like breathing is:,Cerebrum,Cerebellum,Brainstem,Diencephalon,C
Cranial nerve that is motor to tongue muscles is:,Facial nerve,Glossopharyngeal nerve,Vagus nerve,Hypoglossal nerve,D
Spinal nerves that contain only sensory fibers are:,Anterior roots,Posterior roots,Both roots,Neither root,B
The heart layer that lines chambers and valves is:,Epicardium,Myocardium,Endocardium,Pericardium,C
The blood circulation through lungs is:,Systemic circulation,Pulmonary circulation,Coronary circulation,Hepatic circulation,B
The lymphoid organ that is primary site for T-cell maturation is:,Spleen,Thymus,Lymph nodes,Tonsils,B
