Question,Option A,Option B,Option C,Option D,Correct Answer
Joints between tibia and fibula are examples of:,Suture,Syndesmosis,Gomphosis,Symphysis,B
The bone that forms cheek prominence is:,Maxilla,Zygomatic,Mandible,Nasal bone,B
The part of rib that articulates with vertebra is:,Head,Neck,Tubercle,All parts,A
The bone in leg that is weight-bearing is:,Tibia,Fibula,Both equally,Neither bone,A
The part of stomach that has greater curvature is:,Right border,Left border,Superior border,Inferior border,B
The duct that drains lower part of pancreatic head is:,Main pancreatic duct,Accessory pancreatic duct,Common bile duct,Cystic duct,B
The part of respiratory system with C-shaped cartilages is:,Larynx,Trachea,Bronchi,All parts,B
The lung with oblique fissure only is:,Right lung,Left lung,Both lungs,Neither lung,B
The brain part concerned with hearing is:,Frontal lobe,Parietal lobe,Temporal lobe,Occipital lobe,C
The heart chamber with thickest wall is:,Right atrium,Right ventricle,Left atrium,Left ventricle,D
The lymphatic organ that matures lymphocytes is:,Lymph nodes,Spleen,Thymus,Tonsils,C
A 30-year-old patient has injury to the nerve that supplies tongue muscles. This is the:,Facial nerve,Glossopharyngeal nerve,Vagus nerve,Hypoglossal nerve,D
During embryology the process of gastrulation occurs in which week?,First week,Second week,Third week,Fourth week,C
Which plane divides body into upper and lower parts?,Sagittal plane,Coronal plane,Transverse plane,Median plane,C
The skin layer that facilitates movement and contains nerves is:,Epidermis,Dermis,Superficial fascia,Deep fascia,C
Muscles that have branched striated fibers are:,Skeletal muscles,Cardiac muscles,Smooth muscles,All muscle types,B
The plasma membrane of muscle fiber is called:,Sarcoplasm,Sarcolemma,Sarcomere,Myofibril,B
Muscles arranged in concentric rings are:,Parallel muscles,Pennate muscles,Convergent muscles,Circular muscles,D
Bones that give body framework and protect organs are:,Long bones only,Flat bones only,All bone types,Irregular bones only,C
The cartilage that is resilient and flexible is:,Hyaline cartilage,Elastic cartilage,Fibrocartilage,All types,B
Joints that contain synovial fluid are:,Fibrous joints,Cartilaginous joints,Synovial joints,All joints,C
The bone that supports the face and protects brain is:,Hyoid bone,Vertebrae,Sternum,Skull,D
The vertebrae with transverse foramina are:,Cervical vertebrae,Thoracic vertebrae,Lumbar vertebrae,All vertebrae,A
Ribs that articulate with costal cartilage of 7th rib are:,True ribs,False ribs,Floating ribs,All ribs,B
The bone that forms knee joint with femur is:,Tibia,Fibula,Patella,All bones,A
The part of alimentary canal with sphincters is:,Esophagus,Stomach,Anal canal,All parts,C
The salivary gland whose duct opens in floor of mouth is:,Parotid gland,Submandibular gland,Sublingual gland,All glands,B
The stomach part that is most dilated is:,Fundus,Body,Pylorus,All parts equally,B
The part of small intestine with circular folds is:,Duodenum only,Jejunum only,Ileum only,All parts,B
The liver surface facing abdominal viscera is:,Anterior surface,Superior surface,Posterior surface,Inferior surface,D
The pancreas part anterior to portal vein is:,Head,Neck,Body,Tail,B
The nasal part with conchae is:,Nasal vestibule,Respiratory part,Olfactory part,All parts,B
The larynx cartilage that prevents food entry is:,Thyroid cartilage,Cricoid cartilage,Epiglottic cartilage,Arytenoid cartilage,C
The bronchi that supply bronchopulmonary segments are:,Main bronchi,Lobar bronchi,Segmental bronchi,All bronchi,C
The lung border that is thin and sharp is:,Apex,Base,Anterior border,Posterior border,C
The functional unit of nervous system is:,Nerve,Ganglion,Neuron,Neuroglia,C
The brain part that contains cerebral cortex is:,Cerebrum,Cerebellum,Brainstem,Diencephalon,A
Cranial nerves that carry parasympathetic fibers include:,Oculomotor,Facial,Glossopharyngeal,All options,D
Spinal nerves that contain autonomic fibers are:,All spinal nerves,Thoracic and lumbar only,Sacral only,Both B and C,D
The heart layer that is serous and adherent is:,Epicardium,Myocardium,Endocardium,Pericardium,A
The blood circulation that supplies body tissues is:,Pulmonary circulation,Systemic circulation,Coronary circulation,All circulations,B
The lymphoid tissue that filters lymph is:,Spleen,Tonsils,Lymph nodes,Thymus,C
